start	end	text
0	6000	I have the pleasure to present to you Dr. Martin Luther King J.R.
13000	29000	I am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation.
30000	55000	5 score years ago, a great American in whose symbolic shadow we stand today signed the Emancipation Proclamation.
55000	70000	This momentous decree came as a great beacon light of hope to millions of Negro slaves who had been seared in the flames of withering injustice.
71000	91000	It came as a joyous daybreak to end the long night of their captivity, but 100 years later, the Negro still is not free.
92000	106000	100 years later, the life of the Negro is still sadly crippled by the manacles of segregation and the chains of discrimination.
107000	119000	100 years later, the Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity.
120000	135000	100 years later, the Negro is still languished in the corners of American society and finds himself in exile in his own land.
137000	144000	And so we've come here today to dramatize a shameful condition.
145000	150000	In a sense, we've come to our nation's capital to cash a check.
151000	161000	When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence,
162000	170000	they were signing a promise or a note to which every American was to fall out.
171000	178000	This note was a promise that all men, yes, black men as well as white men,
179000	187000	would be guaranteed the unalienable rights of life, liberty, and the pursuit of happiness.
188000	199000	It is obvious today that America has defaulted on this promise or a note insofar as her citizens of color are concerned.
200000	209000	Instead of honoring this sacred obligation, America has given the Negro people a bad check,
210000	214000	a check which has come back marked insufficient funds.
217000	231000	But we refuse to believe that the Bank of Justice is bankrupt.
232000	241000	We refuse to believe that there are insufficient funds and the great balks of opportunity of this nation.
241000	251000	So we've come to cash this check, a check that will give us upon demand the riches of freedom and the security of justice.
251000	270000	We have also come to this hallowed spot to remind America of the fierce urgency of now.
271000	281000	This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism.
287000	292000	Now is the time to make real the promises of democracy.
293000	303000	Now is the time to rise from the dark and desolate valley of segregation to the sunlit path of racial justice.
304000	315000	Now is the time to lift our nation from the quick sands of racial injustice to the solid rock of brotherhood.
315000	323000	Now is the time to make justice a reality for all of God's children.
324000	331000	It would be fatal for the nation to overlook the urgency of the moment.
332000	344000	This sweltering summer of the Negro's legitimate discontent will not pass until there is an invigorating autumn of freedom and equality.
345000	349000	1963 is not an end but a beginning.
