start	end	text
0	6840	Okay. All right. I heard that. It's the Thursday sigh. One more day.
7420	11180	Yeah, there we go. The Thursday sigh. It's Thursday, July 25th.
15540	20920	President Biden explained his decision to step aside in a speech from the Oval Office.
21220	25380	I've decided the best way forward is to pass the torch for a new generation.
25700	28120	What's on the agenda for his remaining time in office?
28120	32260	I'm Stephen Skeep with Michelle Martin, and this is Up First from NPR News.
34760	38640	Israel's Prime Minister Benjamin Netanyahu meets President Biden today
38640	41740	and will meet separately with Vice President Harris,
42200	45780	where do the President and Vice President differ on Israel and Gaza?
46060	49940	And voters are paying attention to how Kamala Harris' record on law enforcement
49940	52600	could play out in a contest against Donald Trump.
52860	57240	When you can say this is a clear case of a prosecutor against a felon,
57240	58540	it's a home run.
58940	61560	Stay with us. We'll give you the news you need to start your day.
69380	72160	This message comes from NPR sponsor IBM.
72900	74520	Things will go wrong for your customers,
74820	77360	but your business can make it right with WatsonX Assistant,
77720	81540	AI that can help resolve problems by understanding your customer requests
81540	82940	with 90% accuracy.
82940	87280	Let's create customer service in service of customers with WatsonX Assistant.
87760	92020	Learn more at IBM.com slash Assistant. IBM, let's create.
92960	95900	This message comes from NPR sponsor Capital One.
96120	101740	Capital One offers checking accounts with no fees or minimums and no overdraft fees.
102080	103880	That's banking, reimagined.
104160	105120	What's in your wallet?
105480	106060	Terms apply.
106060	111160	See capitalone.com slash bank. Capital One NA member FDIC.
111880	113920	This message comes from Progressive Insurance,
114360	119120	where drivers who save by switching save nearly $750 on average.
119380	122860	Get your quote at progressive.com and see if you could save.
123200	125680	Progressive Casualty Insurance Company and Affiliates.
125880	131100	National average 12 month savings of $744 by new customers surveyed
131100	134600	who saved with progressive between June 2022 and May 2023.
134600	136060	Potential savings will vary.
136660	139700	President Biden did not want to end his bid for reelection,
139700	142260	but he said the stakes were just too high to risk it.
142520	147260	I believe I reckon as president, my leadership in the world,
148240	152500	my vision for America's future, all married at a second term,
153540	158080	but nothing, nothing can come in the way of saving our democracy.
158960	160600	That includes personal ambition.
160600	166560	So I've decided the best way forward is to pass the torch for a new generation.
167160	169600	The president spoke of his decision to step aside
169600	172600	and also asserted that he still has work to do
172600	175680	in his final six months behind the Oval Office desk
175680	177200	from which he addressed the nation.
177420	179080	Joining us now to talk more about this
179080	181680	is NPR senior White House correspondent Tamra Keith
181680	184200	up again early after a long night, Tam.
184780	185600	Yeah, good morning.
185840	186520	Thanks for doing that.
186520	189840	So what was Biden trying to accomplish with this address?
190540	193060	Well, this was a monumental moment for Biden,
193300	195780	marking the end or at least the beginning of the end
195780	197800	of a very long career in public life.
198100	202080	And his family sat lining the walls of the Oval Office as he spoke.
202500	204660	The first lady, his grandkids, his kids,
205280	208060	he spoke as Steve said from behind the resolute desk,
208180	210940	this place of very serious presidential addresses.
211440	214140	And this was about explaining the very difficult decision
214140	215400	he made to step aside
215400	217640	and putting it in a noble light.
217980	220320	He was also making an appeal to the American people
220320	222900	to think about what kind of country they want.
223380	224340	At the very end,
224460	226720	Biden delivered this emotional expression of gratitude,
226720	229620	saying that he had given his heart and soul to the nation
229620	231320	over 50 years in public life
231320	233820	and has been blessed with the love and support
233820	235000	of the American people.
235300	238780	I hope you have some idea how grateful I am to all of you.
240220	242920	The great thing about America is here,
243500	246840	kings and dictators do not rule, the people do.
247260	250380	This wasn't the place for the overtly political language
250380	251800	you would hear at a campaign rally.
252140	254880	So he never said former President Trump's name,
254940	257080	but the subtext was quite clear.
257380	258040	It was clear,
258080	260940	but you know the speech had the feeling of a farewell address,
261100	262940	Tam, but he still has six months left in office.
263400	265660	What did he say he wants to do at the time he is left?
266420	269360	You know, it really felt like the oxygen drained out of his presidency
269360	271960	when he announced he was dropping out of the race for reelection.
271960	276060	But practically speaking, this term was already in a lame duck phase.
276540	278240	His biggest achievements happened
278240	281100	before Democrats lost control of the House in 2023.
281420	284960	So a lot of what he can do in these final months is implementation,
285380	288360	distributing funds for infrastructure and climate projects,
288720	289780	cementing regulations.
290440	293300	He said he is going to keep fighting for reproductive rights
293300	294060	and civil rights.
294240	297280	He's going to keep working on the economy and trying to lower costs
297280	300440	and he'll speak out against extremism and political violence.
300440	304100	And of course, he is still trying very hard to get a ceasefire
304100	305840	for hostages deal in Gaza.
306100	307900	Tam, we have a lot of time to talk about this,
307940	310740	but at the end of the day, how do you think his legacy will be defined?
311400	313380	Well, you know, there's been a lot of praise from Democrats
313380	316880	about Biden's selflessness since his announcement on Sunday,
316880	318920	but the real judgment comes in November.
319300	322400	By realizing he needed to step aside at this very late date,
322580	325140	he foreclosed any possibility of a real primary.
325700	328780	Right now, Democrats are very excited about Vice President Harris
328780	331620	as the likely nominee, but this race is still very close.
332400	334860	If Harris wins, Biden will be remembered as the rare president
334860	337240	who put his party and country ahead of his ego.
337720	341220	If she loses, then he is both the person who removed Trump from office
341220	342720	and ushered him back in.
343080	347000	That is N.P.S. Tamara Keith waking up early again after another late night.
347160	347780	Tam, thank you.
348120	348640	You're welcome.
356800	361340	Israel's Prime Minister Benjamin Netanyahu spoke to the U.S. Congress again yesterday.
361780	364740	He's given addresses to Congress four different times,
364880	367400	which is more than any foreign leader in history.
367560	368620	He's been around for a while.
369220	372540	Netanyahu's latest yesterday included flourishes
372540	375480	often seen in a presidential state-of-the-union address.
375480	378980	He told stories of guests in the audience to illustrate
378980	381660	and defend Israel's war against Hamas.
382020	384320	For the forces of civilization to triumph,
385060	388360	America and Israel must stand together.
389420	392020	Today, the Prime Minister meets President Biden at the White House
392020	394560	and also meets with Vice President Harris
394560	399240	how she engages Netanyahu matters more now that she's running for president.
399440	403080	NPR White House correspondent Asma Khaled is with us now to tell us more about that.
403200	403800	Good morning, Asma.
404240	404680	Good morning.
404680	408600	I wanted to ask you how you characterize the Vice President's policies on Gaza.
408840	410360	I mean, obviously, she's the Vice President,
410480	415840	so you assume that her policies would have to be in lockstep with the presidents.
416520	419260	But what would you say about how she approaches the issue?
420100	422800	Well, the substance of what she's saying is similar to Biden,
422920	425100	but she differs in style and tone.
425560	427920	Harris did describe her as having a, quote,
428100	430580	unwavering commitment to the security of Israel.
430580	434400	I also talked with an advisor from Harris's days in the Senate, Hailey Soyfer,
434700	437220	who told me what it was like at a recent White House event
437220	440060	in which she saw the Vice President take on a real leadership role
440060	443640	in condemning the use of sexual violence in the October 7th attacks.
443940	446100	But really, Michelle, the real difference from Biden
446100	448460	is how Harris talks about people in Gaza.
449040	451960	Take a listen to her comments from this past March in Selma, Alabama.
452440	456220	What we are seeing every day in Gaza is devastating.
456220	462180	We have seen reports of families eating leaves or animal feed.
463180	469860	Women giving birth to malnourished babies with little or no medical care.
470380	472660	I've spoken with multiple people who've remarked to me
472660	476680	that Harris shows a greater degree of empathy for Palestinian civilians
476680	478500	than they have heard publicly from Biden.
